	0|5.0|10.0
100|192.168.100.2:192.168.100.1|14777898688133759135|1498722298.6133924|27136
100|192.168.100.2:192.168.100.1|14777898688515622392|1498722298.24018|27136
100|192.168.100.2:192.168.100.1|14777898690367798013|1498722298.2556677|27136
200|192.168.100.2:192.168.100.1|14777898686705322576|1498722298.5761852|27136
200|192.168.100.2:192.168.100.1|14777898686968564820|1498722298.5869377|27136
200|192.168.100.2:192.168.100.1|14777898687634174307|1498722298.6431596|27136
	1|10.0|15.0
100|192.169.100.2:192.169.100.1|14777999699133759136|1499722299.6133924|27136
100|192.169.100.2:192.169.100.1|14777999699515622393|1499722299.24019|27136
100|192.169.100.2:192.169.100.1|14777999690367799014|1499722299.2556677|27136
200|192.169.100.2:192.169.100.1|14777999696705322577|1499722299.5761952|27136
200|192.169.100.2:192.169.100.1|14777999696969564921|1499722299.5969377|27136
200|192.169.100.2:192.169.100.1|14777999697634174309|1499722299.6431596|27136
