	0|5.0|10.0
100|A:B|699133759135|2.1|27136
100|A:B|699515622392|2.2|27136
100|B:A|690367799013|2.3|27136
100|B:A|690367799013|2.4|27136
200|B:A|697634174307|2.5|27136
200|B:A|697634174307|2.6|27136
200|A:B|696969564920|2.7|27136
200|A:B|697634174307|2.8|27136
	1|5.0|10.0
100|A:B|699133759135|3.1|27136
100|A:B|699515622392|3.2|27136
100|B:A|690367799013|3.3|27136
100|B:A|690367799013|3.4|27136
200|B:A|697634174307|3.5|27136
200|B:A|697634174307|3.6|27136
200|A:B|696969564920|3.7|27136
200|A:B|697634174307|3.8|27136
